"","associated_gene","Mouse","Fetal","Adult","Human"
"411","ARMC10",1,NA,NA,NA
"412","ARMC5",NA,NA,NA,1
"413","ARMC6",2,NA,NA,NA
"414","ARMC7",NA,NA,1,1
"415","ARMCX1",1,NA,NA,NA
"416","ARMCX2",2,NA,NA,NA
"417","ARMCX3",2,1,1,1
"418","ARMCX4",NA,NA,1,NA
"419","ARMCX5-GPRASP2",NA,1,NA,1
"420","ARNT2",1,NA,NA,NA
"421","ARPC1B",1,NA,NA,NA
"422","ARPC3",1,NA,NA,NA
"423","ARPC4",1,NA,NA,NA
"424","ARPC5",1,NA,NA,NA
"425","ARPP19",1,NA,NA,NA
"426","ARPP21",6,1,2,3
"427","ARRB2",2,2,2,5
"428","ARRDC1",1,1,1,3
"429","ARRDC2",1,NA,NA,NA
"430","ARRDC4",1,NA,NA,NA
"431","ARSA",1,NA,1,1
"432","ARSB",2,NA,NA,NA
"433","ARV1",1,NA,NA,NA
"434","ARVCF",2,NA,NA,1
"435","ASAP2",1,NA,NA,NA
"436","ASB6",1,1,1,1
"437","ASB7",3,NA,NA,NA
"438","ASCC1",NA,1,NA,1
"439","ASCC2",1,NA,NA,NA
"440","ASH1L",1,NA,NA,NA
"441","ASH2L",2,NA,NA,NA
"442","ASIC1",1,NA,NA,1
"443","ASIC3",NA,NA,1,1
"444","ASIC4",NA,NA,NA,1
"445","ASL",1,NA,NA,NA
"446","ASNA1",NA,NA,NA,1
"447","ASPG",1,NA,NA,NA
"448","ASPH",1,NA,NA,1
"449","ASPHD1",NA,1,NA,1
"450","ASPHD2",2,NA,NA,NA
"451","ASPSCR1",1,NA,NA,1
"452","ASRGL1",NA,2,NA,2
"453","ASTE1",1,1,1,1
"454","ATAD3A",2,NA,NA,1
"455","ATAT1",1,NA,NA,NA
"456","ATF2",NA,2,NA,1
"457","ATF6B",1,NA,NA,NA
"458","ATG13",1,3,3,4
"459","ATG16L1",3,NA,1,1
"460","ATG16L2",NA,NA,1,1
"461","ATG2A",1,1,NA,1
"462","ATG3",1,NA,NA,NA
"463","ATG4A",1,NA,NA,NA
"464","ATG4B",NA,1,1,1
"465","ATG4D",2,NA,NA,NA
"466","ATG9A",2,NA,NA,NA
"467","ATG9B",NA,1,1,1
"468","ATN1",1,NA,NA,1
"469","ATP11B",5,NA,NA,NA
"470","ATP13A1",3,6,4,7
"471","ATP13A2",2,NA,NA,NA
"472","ATP13A4",3,NA,NA,NA
"473","ATP1A1",NA,NA,1,1
"474","ATP1B1",1,NA,NA,NA
"475","ATP1B2",6,NA,NA,1
"476","ATP2A2",NA,1,1,1
"477","ATP2B1",1,NA,NA,NA
"478","ATP2B2",1,NA,NA,NA
"479","ATP2B4",1,NA,NA,NA
"480","ATP2C1",1,NA,NA,NA
"481","ATP5B",2,NA,NA,NA
"482","ATP5C1",1,NA,NA,NA
"483","ATP5D",2,NA,NA,NA
"484","ATP5F1",1,NA,NA,NA
"485","ATP5F1B",NA,2,1,3
"486","ATP5F1C",NA,NA,1,1
"487","ATP5G2",1,NA,NA,NA
"488","ATP5G3",1,NA,NA,NA
"489","ATP5K",1,NA,NA,NA
"490","ATP5MC1",NA,1,1,1
"491","ATP5ME",NA,1,NA,1
"492","ATP5MPL",1,NA,NA,NA
"493","ATP5O",1,NA,NA,NA
"494","ATP5PD",NA,NA,1,1
"495","ATP5PO",NA,1,NA,1
"496","ATP6AP1",2,NA,NA,1
"497","ATP6V0A1",1,NA,NA,NA
"498","ATP6V0B",9,1,1,1
"499","ATP6V0D1",1,NA,1,2
"500","ATP6V1B2",1,2,NA,2
"501","ATP6V1C1",2,NA,NA,NA
"502","ATP6V1D",2,NA,NA,NA
"503","ATP6V1E2",NA,1,1,2
"504","ATP8A1",2,NA,NA,NA
"505","ATP9B",2,NA,NA,NA
"506","ATPAF1",1,NA,NA,NA
"507","ATRAID",NA,NA,1,1
"508","ATRIP",NA,1,NA,1
"509","ATRX",NA,3,2,4
"510","ATXN2L",8,2,1,2
"511","ATXN7L2",NA,2,NA,2
"512","AU022252",3,NA,NA,NA
"513","AUP1",4,5,1,8
"514","AURKAIP1",NA,NA,NA,1
"515","AUTS2",1,NA,NA,NA
"516","AW549877",2,NA,NA,NA
"517","AZIN2",3,1,2,3
"518","B2M",NA,NA,1,1
"519","B3GALNT1",NA,1,NA,1
"520","B3GALNT2",1,1,NA,1
"521","B3GAT1",2,NA,2,2
"522","B3GAT2",NA,1,NA,1
"523","B4GALNT1",8,3,3,5
"524","B4GALNT4",6,2,1,3
"525","B4GALT2",1,NA,NA,NA
"526","B4GALT3",2,1,NA,1
"527","B4GALT7",3,NA,NA,NA
"528","BAALC",NA,NA,2,2
"529","BABAM1",3,1,5,6
"530","BACH2",1,NA,NA,NA
"531","BAG6",5,NA,NA,NA
"532","BAP1",2,NA,NA,NA
"533","BAX",2,NA,NA,NA
"534","BAZ2B",NA,2,2,6
"535","BBIP1",1,NA,NA,NA
"536","BBOF1",1,NA,1,1
"537","BBS2",1,2,NA,2
"538","BBS4",1,NA,NA,NA
"539","BBS5",1,NA,NA,NA
"540","BBS9",4,NA,NA,NA
"541","BC017158",1,NA,NA,NA
"542","BCAN",8,NA,NA,NA
"543","BCAS2",2,NA,NA,NA
"544","BCAT1",1,NA,NA,NA
"545","BCCIP",2,NA,NA,NA
"546","BCKDK",1,1,4,4
"547","BCL2L1",1,NA,NA,NA
"548","BCOR",1,NA,NA,NA
"549","BCS1L",NA,2,2,4
"550","BEAN1",2,NA,NA,NA
"551","BECN1",2,NA,1,1
"552","BEGAIN",3,NA,NA,NA
"553","BEX1",NA,NA,1,1
"554","BEX2",1,NA,1,1
"555","BEX3",NA,1,NA,1
"556","BHLHB9",2,NA,NA,NA
"557","BICD1",1,NA,NA,NA
"558","BICD2",2,NA,NA,NA
"559","BICDL1",NA,NA,1,1
"560","BIN1",5,NA,5,5
"561","BIN3",1,NA,NA,NA
"562","BIRC2",NA,1,NA,1
"563","BLMH",1,NA,NA,NA
"564","BLZF1",NA,NA,NA,1
"565","BMP1",2,NA,NA,NA
"566","BMS1",1,NA,NA,NA
"567","BNIP2",4,1,NA,1
"568","BNIP3L",1,NA,NA,NA
"569","BOD1",NA,1,NA,1
"570","BOLA2-SMG1P6",NA,NA,1,1
"571","BOP1",2,4,2,5
"572","BRAF",1,NA,NA,NA
"573","BRAT1",1,3,2,4
"574","BRD2",4,NA,NA,NA
"575","BRD4",2,NA,NA,NA
"576","BRD8",3,NA,NA,NA
"577","BRD9",5,NA,NA,NA
"578","BRICD5_PGP",NA,NA,NA,2
"579","BRINP2",1,NA,NA,NA
"580","BRIX1",NA,1,NA,1
"581","BRMS1",NA,1,NA,2
"582","BRMS1L",1,NA,NA,NA
"583","BRSK1",NA,NA,1,1
"584","BRSK2",15,NA,NA,NA
"585","BRWD1",1,NA,1,1
"586","BSCL2",1,NA,3,3
"587","BSDC1",NA,NA,1,1
"588","BSG",2,NA,1,1
"589","BSN",1,NA,NA,NA
"590","BTBD6",1,NA,1,1
"591","BTBD8",1,NA,1,1
"592","BTBD9",3,NA,NA,NA
"593","BTF3L4",1,NA,NA,NA
"594","BUB3",1,1,1,1
"595","BUD23",1,NA,NA,NA
"596","BUD31",1,NA,NA,NA
"597","C10ORF88",NA,1,NA,1
"598","C11ORF24",NA,NA,NA,1
"599","C11ORF49",NA,1,1,2
"600","C12ORF75",NA,1,NA,1
"601","C16ORF58",NA,2,1,3
"602","C16ORF70",NA,1,1,NA
"603","C17ORF58",NA,1,1,1
"604","C19ORF47",NA,1,1,1
"605","C19ORF48",NA,1,NA,1
"606","C19ORF54",NA,NA,1,1
"607","C19ORF66",NA,NA,1,1
"608","C1ORF131",NA,NA,NA,1
"609","C1ORF159",NA,NA,NA,3
"610","C1ORF35",NA,1,1,2
"611","C1QTNF4",NA,NA,1,1
"612","C1QTNF4_KBTBD4",1,NA,NA,NA
"613","C1R",NA,NA,1,1
"614","C20ORF27",NA,1,NA,3
"615","C20ORF96",NA,5,1,6
"616","C2CD2L",1,NA,NA,NA
"617","C2ORF81",NA,NA,1,1
"618","C4B",6,NA,NA,NA
"619","C77080",1,NA,NA,NA
"620","C7ORF26",NA,NA,1,1
"621","C8ORF33",NA,1,NA,1
"622","C920006O11RIK",2,NA,NA,NA
"623","C9ORF24",NA,NA,1,1
"624","C9ORF72",NA,1,NA,1
"625","CA11",NA,NA,2,2
"626","CAAP1",1,NA,NA,NA
"627","CABIN1",1,NA,NA,NA
"628","CABLES2",2,NA,NA,NA
"629","CABP1",NA,NA,1,1
"630","CABYR",NA,1,1,2
"631","CACFD1",1,NA,NA,NA
"632","CACNA2D1",1,NA,NA,NA
"633","CACNB1",1,NA,NA,NA
"634","CACNB3",3,NA,NA,NA
"635","CACTIN",3,NA,NA,NA
"636","CADM3",1,NA,NA,NA
"637","CADPS2",4,NA,NA,NA
"638","CALB1",2,NA,NA,NA
"639","CALCB",1,NA,NA,NA
"640","CALCOCO1",2,2,2,3
"641","CALCOCO2",NA,NA,1,1
"642","CALM1",9,NA,NA,NA
"643","CALM3",5,NA,4,4
"644","CALR",NA,NA,2,2
"645","CALY",5,1,2,2
"646","CAMK1",1,NA,NA,NA
"647","CAMK1G",NA,1,1,2
"648","CAMK2A",2,NA,NA,NA
"649","CAMK2B",19,NA,2,2
"650","CAMK2D",1,NA,NA,NA
"651","CAMK2G",2,NA,1,2
"652","CAMKK1",2,NA,NA,NA
"653","CAMKK2",5,NA,NA,NA
"654","CAMKV",9,10,6,13
"655","CAMTA2",2,1,5,6
"656","CANT1",1,2,NA,2
"657","CAP1",3,1,1,2
"658","CAPN10",1,NA,1,3
"659","CAPN15",6,NA,NA,NA
"660","CAPN7",1,NA,NA,NA
"661","CAPNS1",2,NA,NA,NA
"662","CAPRIN2",1,1,NA,1
"663","CAPZB",1,NA,NA,NA
"664","CAR11",3,NA,NA,NA
"665","CAR11_DBP",1,NA,NA,NA
"666","CAR14",1,NA,NA,NA
"667","CAR2",2,NA,NA,NA
"668","CAR4",1,NA,NA,NA
"669","CARD19",1,NA,2,2
"670","CARHSP1",NA,1,NA,1
"671","CARM1",NA,1,NA,1
"672","CARMIL2",6,NA,NA,NA
"673","CARMIL3",1,NA,NA,NA
"674","CARNS1",1,NA,1,1
"675","CARS",1,1,2,2
"676","CASC3",3,NA,NA,1
"677","CASP8",1,NA,NA,NA
"678","CASQ1",NA,NA,NA,1
"679","CAST",NA,NA,1,1
