"","Genes","Number of Splicing Events","dataset"
"696","FCGRT",3,"HumanCTX"
"697","FDPS",3,"HumanCTX"
"698","FIBP",3,"HumanCTX"
"699","FKBP1B",3,"HumanCTX"
"700","FLAD1",3,"HumanCTX"
"701","FLYWCH1",3,"HumanCTX"
"702","FMNL2",3,"HumanCTX"
"703","FN1",3,"HumanCTX"
"704","FNBP4",3,"HumanCTX"
"705","FNDC4",3,"HumanCTX"
"706","FOXN3",3,"HumanCTX"
"707","FOXP1",3,"HumanCTX"
"708","FPGS",3,"HumanCTX"
"709","FRG1HP",3,"HumanCTX"
"710","FSD1",3,"HumanCTX"
"711","GABRA5",3,"HumanCTX"
"712","GAD1",3,"HumanCTX"
"713","GAPDH",3,"HumanCTX"
"714","GAS2L1",3,"HumanCTX"
"715","GAS8",3,"HumanCTX"
"716","GDAP1L1",3,"HumanCTX"
"717","GGA1",3,"HumanCTX"
"718","GHITM",3,"HumanCTX"
"719","GLOD4",3,"HumanCTX"
"720","GLS2",3,"HumanCTX"
"721","GLYR1",3,"HumanCTX"
"722","GNB1",3,"HumanCTX"
"723","GOLGB1",3,"HumanCTX"
"724","GOLM1",3,"HumanCTX"
"725","GOSR2",3,"HumanCTX"
"726","GPAA1",3,"HumanCTX"
"727","GPR146",3,"HumanCTX"
"728","GPS2",3,"HumanCTX"
"729","GRIA3",3,"HumanCTX"
"730","GSN",3,"HumanCTX"
"731","GSS",3,"HumanCTX"
"732","GTF2I",3,"HumanCTX"
"733","GTF2IP4",3,"HumanCTX"
"734","GTF3A",3,"HumanCTX"
"735","GUCY1A1",3,"HumanCTX"
"736","GUCY1B1",3,"HumanCTX"
"737","GUSB",3,"HumanCTX"
"738","GUSBP11",3,"HumanCTX"
"739","HAGH",3,"HumanCTX"
"740","HCFC1R1",3,"HumanCTX"
"741","HDAC11",3,"HumanCTX"
"742","HDAC5",3,"HumanCTX"
"743","HDAC9",3,"HumanCTX"
"744","HDDC2",3,"HumanCTX"
"745","HDGF",3,"HumanCTX"
"746","HDGFL2",3,"HumanCTX"
"747","HDHD2",3,"HumanCTX"
"748","HDHD5",3,"HumanCTX"
"749","HES4",3,"HumanCTX"
"750","HEXA",3,"HumanCTX"
"751","HEXD",3,"HumanCTX"
"752","HIP1R",3,"HumanCTX"
"753","HM13",3,"HumanCTX"
"754","HMCES",3,"HumanCTX"
"755","HMGB1",3,"HumanCTX"
"756","HNRNPA1",3,"HumanCTX"
"757","HNRNPC",3,"HumanCTX"
"758","HNRNPUL1",3,"HumanCTX"
"759","HPCA",3,"HumanCTX"
"760","HSF4",3,"HumanCTX"
"761","HSP90AB1",3,"HumanCTX"
"762","HSPD1",3,"HumanCTX"
"763","HSPH1",3,"HumanCTX"
"764","IARS",3,"HumanCTX"
"765","IDH3A",3,"HumanCTX"
"766","IDI1",3,"HumanCTX"
"767","IDS",3,"HumanCTX"
"768","IFT20",3,"HumanCTX"
"769","IFT52",3,"HumanCTX"
"770","IKBKG",3,"HumanCTX"
"771","IKZF5",3,"HumanCTX"
"772","ILF3",3,"HumanCTX"
"773","ILK",3,"HumanCTX"
"774","ILKAP",3,"HumanCTX"
"775","INPP5K",3,"HumanCTX"
"776","INSIG1",3,"HumanCTX"
"777","INTS10",3,"HumanCTX"
"778","INTS12",3,"HumanCTX"
"779","IQCJ-SCHIP1",3,"HumanCTX"
"780","IQSEC1",3,"HumanCTX"
"781","IRAK1",3,"HumanCTX"
"782","ISCU",3,"HumanCTX"
"783","IST1",3,"HumanCTX"
"784","IVNS1ABP",3,"HumanCTX"
"785","JAKMIP1",3,"HumanCTX"
"786","JUP",3,"HumanCTX"
"787","KAT5",3,"HumanCTX"
"788","KAT6B",3,"HumanCTX"
"789","KDM1A",3,"HumanCTX"
"790","KDM2B",3,"HumanCTX"
"791","KIAA0930",3,"HumanCTX"
"792","KIAA1191",3,"HumanCTX"
"793","KIF1A",3,"HumanCTX"
"794","KIFAP3",3,"HumanCTX"
"795","KIFC2",3,"HumanCTX"
"796","KLF6",3,"HumanCTX"
"797","KLHL7",3,"HumanCTX"
"798","KLK7",3,"HumanCTX"
"799","KMT5C",3,"HumanCTX"
"800","KRI1",3,"HumanCTX"
"801","KYAT1",3,"HumanCTX"
"802","L3MBTL2",3,"HumanCTX"
"803","LAS1L",3,"HumanCTX"
"804","LCOR",3,"HumanCTX"
"805","LINC00461",3,"HumanCTX"
"806","LINC00599",3,"HumanCTX"
"807","LINC00869",3,"HumanCTX"
"808","LINC01089",3,"HumanCTX"
"809","LINC01114",3,"HumanCTX"
"810","LINGO1",3,"HumanCTX"
"811","LMO3",3,"HumanCTX"
"812","LPCAT4",3,"HumanCTX"
"813","LRRC27",3,"HumanCTX"
"814","LRRC41",3,"HumanCTX"
"815","LRRC75B",3,"HumanCTX"
"816","LSS",3,"HumanCTX"
"817","LUC7L3",3,"HumanCTX"
"818","LY6H",3,"HumanCTX"
"819","MAP2",3,"HumanCTX"
"820","MAP7",3,"HumanCTX"
"821","MAP9",3,"HumanCTX"
"822","MAPK10",3,"HumanCTX"
"823","MARCH2",3,"HumanCTX"
"824","MARK3",3,"HumanCTX"
"825","MAX",3,"HumanCTX"
"826","MBD1",3,"HumanCTX"
"827","MBD4",3,"HumanCTX"
"828","MCF2L",3,"HumanCTX"
"829","MCRIP1",3,"HumanCTX"
"830","MDK",3,"HumanCTX"
"831","ME3",3,"HumanCTX"
"832","MED20",3,"HumanCTX"
"833","MEF2C",3,"HumanCTX"
"834","MEIS2",3,"HumanCTX"
"835","MEIS3",3,"HumanCTX"
"836","METTL3",3,"HumanCTX"
"837","MFSD3",3,"HumanCTX"
"838","MGLL",3,"HumanCTX"
"839","MGRN1",3,"HumanCTX"
"840","MICAL1",3,"HumanCTX"
"841","MICAL2",3,"HumanCTX"
"842","MIR100HG",3,"HumanCTX"
"843","MKRN1",3,"HumanCTX"
"844","MPPED1",3,"HumanCTX"
"845","MRAS",3,"HumanCTX"
"846","MRM2",3,"HumanCTX"
"847","MRPL38",3,"HumanCTX"
"848","MRPL9",3,"HumanCTX"
"849","MRPS31P5",3,"HumanCTX"
"850","MTCH1",3,"HumanCTX"
"851","MTHFSD",3,"HumanCTX"
"852","MTMR4",3,"HumanCTX"
"853","MXI1",3,"HumanCTX"
"854","MYEF2",3,"HumanCTX"
"855","MYO1B",3,"HumanCTX"
"856","NAA60",3,"HumanCTX"
"857","NAB2",3,"HumanCTX"
"858","NACA",3,"HumanCTX"
"859","NAGK",3,"HumanCTX"
"860","NAP1L1",3,"HumanCTX"
"861","NARF",3,"HumanCTX"
"862","NAT9",3,"HumanCTX"
"863","NBPF1",3,"HumanCTX"
"864","NCALD",3,"HumanCTX"
"865","NCBP2",3,"HumanCTX"
"866","NCKIPSD",3,"HumanCTX"
"867","NDRG4",3,"HumanCTX"
"868","NDUFS2",3,"HumanCTX"
"869","NELFCD",3,"HumanCTX"
"870","NELL2",3,"HumanCTX"
"871","NEURL1",3,"HumanCTX"
"872","NFIA",3,"HumanCTX"
"873","NFIB",3,"HumanCTX"
"874","NGEF",3,"HumanCTX"
"875","NKIRAS2",3,"HumanCTX"
"876","NOB1",3,"HumanCTX"
"877","NOXA1",3,"HumanCTX"
"878","NPDC1",3,"HumanCTX"
"879","NPM2",3,"HumanCTX"
"880","NSMF",3,"HumanCTX"
"881","NSUN5P1",3,"HumanCTX"
"882","NT5C3B",3,"HumanCTX"
"883","NUBP2",3,"HumanCTX"
"884","NUCB2",3,"HumanCTX"
"885","NUSAP1",3,"HumanCTX"
"886","OCIAD1",3,"HumanCTX"
"887","OGDHL",3,"HumanCTX"
"888","OPN3",3,"HumanCTX"
"889","OPTN",3,"HumanCTX"
"890","OS9",3,"HumanCTX"
"891","OSER1-DT",3,"HumanCTX"
"892","P2RX7",3,"HumanCTX"
"893","P4HTM",3,"HumanCTX"
"894","PABPC4",3,"HumanCTX"
"895","PAIP1",3,"HumanCTX"
"896","PAM",3,"HumanCTX"
"897","PARP6",3,"HumanCTX"
"898","PAX6",3,"HumanCTX"
"899","PCBP1-AS1",3,"HumanCTX"
"900","PCED1A",3,"HumanCTX"
"901","PCYT2",3,"HumanCTX"
"902","PDE2A",3,"HumanCTX"
"903","PDE4A",3,"HumanCTX"
"904","PDIA2",3,"HumanCTX"
"905","PDP1",3,"HumanCTX"
"906","PEA15",3,"HumanCTX"
"907","PEG3",3,"HumanCTX"
"908","PELP1",3,"HumanCTX"
"909","PEX5",3,"HumanCTX"
"910","PFKL",3,"HumanCTX"
"911","PFKM",3,"HumanCTX"
"912","PFKP",3,"HumanCTX"
"913","PGAP3",3,"HumanCTX"
"914","PGS1",3,"HumanCTX"
"915","PHF20L1",3,"HumanCTX"
"916","PHKG2",3,"HumanCTX"
"917","PIAS3",3,"HumanCTX"
"918","PICK1",3,"HumanCTX"
"919","PIGT",3,"HumanCTX"
"920","PIP5K1C",3,"HumanCTX"
"921","PLP1",3,"HumanCTX"
"922","PLPPR2",3,"HumanCTX"
"923","PLRG1",3,"HumanCTX"
"924","PML",3,"HumanCTX"
"925","PNCK",3,"HumanCTX"
"926","PNISR",3,"HumanCTX"
"927","PNMA2",3,"HumanCTX"
"928","PODXL2",3,"HumanCTX"
"929","POLR2F",3,"HumanCTX"
"930","POLR2J3",3,"HumanCTX"
"931","POLRMT",3,"HumanCTX"
"932","PPIE",3,"HumanCTX"
"933","PPIG",3,"HumanCTX"
"934","PPP1CA",3,"HumanCTX"
"935","PPP1CC",3,"HumanCTX"
"936","PPP1R37",3,"HumanCTX"
"937","PPP2R5D",3,"HumanCTX"
"938","PPP4R1",3,"HumanCTX"
"939","PRKAR1B",3,"HumanCTX"
"940","PRMT7",3,"HumanCTX"
"941","PRPF40A",3,"HumanCTX"
"942","PRPF40B",3,"HumanCTX"
"943","PRR14",3,"HumanCTX"
"944","PRRT2",3,"HumanCTX"
"945","PRTFDC1",3,"HumanCTX"
"946","PRXL2B",3,"HumanCTX"
"947","PSMC6",3,"HumanCTX"
"948","PSMD13",3,"HumanCTX"
"949","PSMD2",3,"HumanCTX"
"950","PSMF1",3,"HumanCTX"
"951","PTGDS",3,"HumanCTX"
"952","PTK2B",3,"HumanCTX"
"953","PTPA",3,"HumanCTX"
"954","PTPN2",3,"HumanCTX"
"955","PUM1",3,"HumanCTX"
"956","PXK",3,"HumanCTX"
"957","PXYLP1",3,"HumanCTX"
"958","QTRT1",3,"HumanCTX"
"959","R3HCC1",3,"HumanCTX"
"960","R3HDM1",3,"HumanCTX"
"961","RAB18",3,"HumanCTX"
"962","RAB29",3,"HumanCTX"
"963","RAB34",3,"HumanCTX"
"964","RABGAP1",3,"HumanCTX"
"965","RABL2A",3,"HumanCTX"
"966","RACGAP1",3,"HumanCTX"
"967","RAD23A",3,"HumanCTX"
"968","RALB",3,"HumanCTX"
"969","RAN",3,"HumanCTX"
"970","RANBP3",3,"HumanCTX"
"971","RANGRF",3,"HumanCTX"
"972","RASSF4",3,"HumanCTX"
"973","RBBP4",3,"HumanCTX"
"974","RBBP7",3,"HumanCTX"
"975","RBIS",3,"HumanCTX"
"976","RBM23",3,"HumanCTX"
"977","RBM25",3,"HumanCTX"
"978","RBM3",3,"HumanCTX"
"979","RBM39",3,"HumanCTX"
"980","RBM42",3,"HumanCTX"
"981","RBM4B",3,"HumanCTX"
"982","RBPJ",3,"HumanCTX"
"983","RC3H2",3,"HumanCTX"
"984","REC8",3,"HumanCTX"
"985","REEP2",3,"HumanCTX"
"986","RFX5",3,"HumanCTX"
"987","RGS12",3,"HumanCTX"
"988","RHBDL1",3,"HumanCTX"
"989","RHOC",3,"HumanCTX"
"990","RIC8B",3,"HumanCTX"
"991","RIMKLB",3,"HumanCTX"
"992","RNF10",3,"HumanCTX"
"993","RNF146",3,"HumanCTX"
"994","RNF170",3,"HumanCTX"
"995","RNF216P1",3,"HumanCTX"
"996","RNF44",3,"HumanCTX"
"997","RNF6",3,"HumanCTX"
"998","ROBO1",3,"HumanCTX"
"999","ROGDI",3,"HumanCTX"
"1000","RPL10",3,"HumanCTX"
"1001","RPLP0",3,"HumanCTX"
"1002","RPRD1A",3,"HumanCTX"
"1003","RPS6KA4",3,"HumanCTX"
"1004","RSAD1",3,"HumanCTX"
"1005","RSPH3",3,"HumanCTX"
"1006","RTKN",3,"HumanCTX"
"1007","RTN2",3,"HumanCTX"
"1008","RUNDC3B",3,"HumanCTX"
"1009","RUSC2",3,"HumanCTX"
"1010","SAE1",3,"HumanCTX"
"1011","SAFB2",3,"HumanCTX"
"1012","SAMD14",3,"HumanCTX"
"1013","SAMD4B",3,"HumanCTX"
"1014","SAP30BP",3,"HumanCTX"
"1015","SARS",3,"HumanCTX"
"1016","SAT2",3,"HumanCTX"
"1017","SCFD1",3,"HumanCTX"
"1018","SCYL1",3,"HumanCTX"
"1019","SEC16A",3,"HumanCTX"
"1020","SEC31A",3,"HumanCTX"
"1021","SEPT11",3,"HumanCTX"
"1022","SEPT5",3,"HumanCTX"
"1023","SEZ6",3,"HumanCTX"
"1024","SEZ6L2",3,"HumanCTX"
"1025","SFXN1",3,"HumanCTX"
"1026","SFXN3",3,"HumanCTX"
"1027","SGCE",3,"HumanCTX"
"1028","SH3GL1",3,"HumanCTX"
"1029","SH3GL2",3,"HumanCTX"
"1030","SHARPIN",3,"HumanCTX"
"1031","SIRT2",3,"HumanCTX"
"1032","SLAIN1",3,"HumanCTX"
"1033","SLC1A2",3,"HumanCTX"
"1034","SLC25A11",3,"HumanCTX"
"1035","SLC25A22",3,"HumanCTX"
"1036","SLC25A29",3,"HumanCTX"
"1037","SLC25A36",3,"HumanCTX"
"1038","SLC25A51",3,"HumanCTX"
"1039","SLC29A1",3,"HumanCTX"
"1040","SLC30A3",3,"HumanCTX"
"1041","SLC39A13",3,"HumanCTX"
"1042","SLC3A2",3,"HumanCTX"
"1043","SLC41A3",3,"HumanCTX"
"1044","SLC43A2",3,"HumanCTX"
"1045","SLC5A6",3,"HumanCTX"
"1046","SLTM",3,"HumanCTX"
"1047","SMAP2",3,"HumanCTX"
"1048","SMARCAD1",3,"HumanCTX"
"1049","SMARCD1",3,"HumanCTX"
"1050","SMG7",3,"HumanCTX"
"1051","SMIM19",3,"HumanCTX"
"1052","SMOX",3,"HumanCTX"
"1053","SNCA",3,"HumanCTX"
"1054","SNCB",3,"HumanCTX"
"1055","SNHG21",3,"HumanCTX"
"1056","SNX10",3,"HumanCTX"
"1057","SORBS1",3,"HumanCTX"
"1058","SORBS3",3,"HumanCTX"
"1059","SP2",3,"HumanCTX"
"1060","SPAG9",3,"HumanCTX"
"1061","SPATS2L",3,"HumanCTX"
"1062","SPEG",3,"HumanCTX"
"1063","SPOUT1",3,"HumanCTX"
"1064","SPPL2B",3,"HumanCTX"
"1065","SPRED2",3,"HumanCTX"
"1066","SPTAN1",3,"HumanCTX"
"1067","SQSTM1",3,"HumanCTX"
"1068","SRSF10",3,"HumanCTX"
"1069","SRSF11",3,"HumanCTX"
"1070","SRSF3",3,"HumanCTX"
"1071","SSX2IP",3,"HumanCTX"
"1072","STAMBP",3,"HumanCTX"
"1073","STAU2",3,"HumanCTX"
"1074","STMN4",3,"HumanCTX"
"1075","STRBP",3,"HumanCTX"
"1076","STRIP1",3,"HumanCTX"
"1077","STX18-AS1",3,"HumanCTX"
"1078","SULT4A1",3,"HumanCTX"
"1079","SUOX",3,"HumanCTX"
"1080","SUPT7L",3,"HumanCTX"
"1081","SYBU",3,"HumanCTX"
"1082","SYNGR1",3,"HumanCTX"
"1083","SYP",3,"HumanCTX"
"1084","SYT1",3,"HumanCTX"
"1085","SYT5",3,"HumanCTX"
"1086","TAOK3",3,"HumanCTX"
"1087","TBC1D17",3,"HumanCTX"
"1088","TBC1D7",3,"HumanCTX"
"1089","TCEA2",3,"HumanCTX"
"1090","TDRKH",3,"HumanCTX"
"1091","TEDC1",3,"HumanCTX"
"1092","TEKT2",3,"HumanCTX"
"1093","TEPSIN",3,"HumanCTX"
"1094","TFDP1",3,"HumanCTX"
"1095","TGFBR3L",3,"HumanCTX"
"1096","THYN1",3,"HumanCTX"
"1097","TLE5",3,"HumanCTX"
"1098","TMBIM6",3,"HumanCTX"
"1099","TMEM161B-AS1",3,"HumanCTX"
"1100","TMEM170A",3,"HumanCTX"
"1101","TMEM183A",3,"HumanCTX"
"1102","TMEM198",3,"HumanCTX"
"1103","TMEM206",3,"HumanCTX"
"1104","TMEM219",3,"HumanCTX"
"1105","TMUB2",3,"HumanCTX"
"1106","TNK2",3,"HumanCTX"
"1107","TOP3B",3,"HumanCTX"
"1108","TOR3A",3,"HumanCTX"
"1109","TPD52",3,"HumanCTX"
"1110","TRAP1",3,"HumanCTX"
"1111","TRAPPC6B",3,"HumanCTX"
"1112","TRIM2",3,"HumanCTX"
"1113","TRIM3",3,"HumanCTX"
"1114","TRMU",3,"HumanCTX"
"1115","TRNAU1AP",3,"HumanCTX"
"1116","TSPAN3",3,"HumanCTX"
"1117","TSPAN31",3,"HumanCTX"
"1118","TSPAN5",3,"HumanCTX"
"1119","TSSC4",3,"HumanCTX"
"1120","TTC19",3,"HumanCTX"
"1121","TTYH1",3,"HumanCTX"
"1122","TUBA1A",3,"HumanCTX"
"1123","TUBA1C",3,"HumanCTX"
"1124","TUBG2",3,"HumanCTX"
"1125","TXNRD1",3,"HumanCTX"
"1126","UBAP1",3,"HumanCTX"
"1127","UBE2D3",3,"HumanCTX"
"1128","UBE2V1",3,"HumanCTX"
"1129","UBTF",3,"HumanCTX"
"1130","UCHL1",3,"HumanCTX"
"1131","UCHL5",3,"HumanCTX"
"1132","UGP2",3,"HumanCTX"
"1133","UNC119",3,"HumanCTX"
"1134","UPRT",3,"HumanCTX"
"1135","USF2",3,"HumanCTX"
"1136","USP33",3,"HumanCTX"
"1137","USP5",3,"HumanCTX"
"1138","UTP6",3,"HumanCTX"
"1139","VAMP2",3,"HumanCTX"
"1140","VAMP4",3,"HumanCTX"
"1141","VCPKMT",3,"HumanCTX"
"1142","VIPR1",3,"HumanCTX"
"1143","VOPP1",3,"HumanCTX"
"1144","VPS16",3,"HumanCTX"
"1145","VPS39",3,"HumanCTX"
"1146","VPS72",3,"HumanCTX"
"1147","VRK3",3,"HumanCTX"
"1148","WASH9P",3,"HumanCTX"
"1149","WDR20",3,"HumanCTX"
"1150","WDR45",3,"HumanCTX"
"1151","WDR47",3,"HumanCTX"
"1152","WIPF2",3,"HumanCTX"
"1153","WRB",3,"HumanCTX"
"1154","WSB1",3,"HumanCTX"
"1155","YBX1",3,"HumanCTX"
"1156","YDJC",3,"HumanCTX"
"1157","YEATS2",3,"HumanCTX"
"1158","YWHAZ",3,"HumanCTX"
"1159","ZC3H11A",3,"HumanCTX"
"1160","ZDHHC6",3,"HumanCTX"
"1161","ZER1",3,"HumanCTX"
"1162","ZFAND6",3,"HumanCTX"
"1163","ZFYVE27",3,"HumanCTX"
"1164","ZGPAT",3,"HumanCTX"
"1165","ZMIZ1",3,"HumanCTX"
"1166","ZMYND11",3,"HumanCTX"
"1167","ZNF23",3,"HumanCTX"
"1168","ZNF232",3,"HumanCTX"
"1169","ZNF248",3,"HumanCTX"
"1170","ZNF250",3,"HumanCTX"
"1171","ZNF32",3,"HumanCTX"
"1172","ZNF346",3,"HumanCTX"
"1173","ZNF384",3,"HumanCTX"
"1174","ZNF385A",3,"HumanCTX"
"1175","ZNF395",3,"HumanCTX"
"1176","ZNF415",3,"HumanCTX"
"1177","ZNF542P",3,"HumanCTX"
"1178","ZNF589",3,"HumanCTX"
"1179","ZNF706",3,"HumanCTX"
"1180","ZNF711",3,"HumanCTX"
"1181","ZNF75A",3,"HumanCTX"
"1182","ZNF76",3,"HumanCTX"
"1183","ZRANB2",3,"HumanCTX"
"1184","ZSCAN18",3,"HumanCTX"
"1185","AARSD1",2,"HumanCTX"
"1186","AATK",2,"HumanCTX"
"1187","ABCF2",2,"HumanCTX"
"1188","ABCF3",2,"HumanCTX"
"1189","ABCG2",2,"HumanCTX"
"1190","ABHD11",2,"HumanCTX"
"1191","ABHD14A",2,"HumanCTX"
"1192","ABHD3",2,"HumanCTX"
"1193","ABLIM2",2,"HumanCTX"
"1194","AC003112.1",2,"HumanCTX"
"1195","AC005519.1",2,"HumanCTX"
"1196","AC005747.1",2,"HumanCTX"
"1197","AC010327.6",2,"HumanCTX"
"1198","AC011445.1",2,"HumanCTX"
"1199","AC021087.5",2,"HumanCTX"
"1200","AC022137.3",2,"HumanCTX"
"1201","AC025839.1",2,"HumanCTX"
"1202","AC044860.1",2,"HumanCTX"
"1203","AC068587.8",2,"HumanCTX"
"1204","AC073111.4",2,"HumanCTX"
"1205","AC092338.1",2,"HumanCTX"
"1206","AC092881.1",2,"HumanCTX"
"1207","AC118754.1",2,"HumanCTX"
"1208","AC124312.1",2,"HumanCTX"
"1209","AC132008.2",2,"HumanCTX"
"1210","AC139768.1",2,"HumanCTX"
"1211","AC242376.2",2,"HumanCTX"
"1212","AC245060.7",2,"HumanCTX"
"1213","ACAD8",2,"HumanCTX"
"1214","ACADSB",2,"HumanCTX"
"1215","ACD",2,"HumanCTX"
"1216","ACHE",2,"HumanCTX"
"1217","ACLY",2,"HumanCTX"
"1218","ACP1",2,"HumanCTX"
"1219","ACSL1",2,"HumanCTX"
"1220","ACSL4",2,"HumanCTX"
"1221","ACTB",2,"HumanCTX"
"1222","ACTG1",2,"HumanCTX"
"1223","ACTL6B",2,"HumanCTX"
"1224","ACTN2",2,"HumanCTX"
"1225","ACTR1A",2,"HumanCTX"
"1226","ACTR1B",2,"HumanCTX"
"1227","ACTR5",2,"HumanCTX"
"1228","ADA",2,"HumanCTX"
"1229","ADAM15",2,"HumanCTX"
"1230","ADAM17",2,"HumanCTX"
"1231","ADAP1",2,"HumanCTX"
"1232","ADAR",2,"HumanCTX"
"1233","ADAT1",2,"HumanCTX"
"1234","ADCY2",2,"HumanCTX"
"1235","ADGRL1",2,"HumanCTX"
"1236","ADRM1",2,"HumanCTX"
"1237","AFAP1L2",2,"HumanCTX"
"1238","AGAP3",2,"HumanCTX"
"1239","AHDC1",2,"HumanCTX"
"1240","AHI1",2,"HumanCTX"
"1241","AHSA2P",2,"HumanCTX"
"1242","AIF1L",2,"HumanCTX"
"1243","AK2",2,"HumanCTX"
"1244","AK9",2,"HumanCTX"
"1245","AKAP13",2,"HumanCTX"
"1246","AKAP17A",2,"HumanCTX"
"1247","AKAP9",2,"HumanCTX"
"1248","AKR1A1",2,"HumanCTX"
"1249","AKT2",2,"HumanCTX"
"1250","AKTIP",2,"HumanCTX"
"1251","AL137058.2",2,"HumanCTX"
"1252","AL589740.1",2,"HumanCTX"
"1253","AL590560.1",2,"HumanCTX"
"1254","ALAD",2,"HumanCTX"
"1255","ALAS1",2,"HumanCTX"
"1256","ALDH2",2,"HumanCTX"
"1257","ALDOA",2,"HumanCTX"
"1258","ALDOC",2,"HumanCTX"
"1259","ALKBH3",2,"HumanCTX"
"1260","ALKBH6",2,"HumanCTX"
"1261","AMER3",2,"HumanCTX"
"1262","AMPD2",2,"HumanCTX"
"1263","AMPH",2,"HumanCTX"
"1264","AMT",2,"HumanCTX"
"1265","ANAPC11",2,"HumanCTX"
"1266","ANAPC16",2,"HumanCTX"
"1267","ANGEL2",2,"HumanCTX"
"1268","ANGPTL4",2,"HumanCTX"
"1269","ANKLE2",2,"HumanCTX"
"1270","ANKRD11",2,"HumanCTX"
"1271","ANKRD17",2,"HumanCTX"
"1272","ANKRD20A4",2,"HumanCTX"
"1273","ANKRD36C",2,"HumanCTX"
"1274","ANKRD39",2,"HumanCTX"
"1275","ANKRD46",2,"HumanCTX"
"1276","ANKRD49",2,"HumanCTX"
"1277","ANKRD65",2,"HumanCTX"
"1278","ANKRD9",2,"HumanCTX"
"1279","ANLN",2,"HumanCTX"
"1280","ANXA6",2,"HumanCTX"
"1281","AOPEP",2,"HumanCTX"
"1282","AP001453.5",2,"HumanCTX"
"1283","AP002956.1",2,"HumanCTX"
"1284","AP1G2",2,"HumanCTX"
"1285","AP1M1",2,"HumanCTX"
"1286","AP1S2",2,"HumanCTX"
"1287","AP2B1",2,"HumanCTX"
"1288","AP2M1",2,"HumanCTX"
"1289","AP3M1",2,"HumanCTX"
"1290","AP3S1",2,"HumanCTX"
"1291","AP4B1",2,"HumanCTX"
"1292","APBA2",2,"HumanCTX"
"1293","APBB3",2,"HumanCTX"
"1294","APOLD1",2,"HumanCTX"
"1295","APPL2",2,"HumanCTX"
"1296","APRT",2,"HumanCTX"
"1297","APTX",2,"HumanCTX"
"1298","ARF5",2,"HumanCTX"
"1299","ARFGAP1",2,"HumanCTX"
"1300","ARFIP1",2,"HumanCTX"
"1301","ARGLU1",2,"HumanCTX"
"1302","ARHGAP39",2,"HumanCTX"
"1303","ARHGDIA",2,"HumanCTX"
"1304","ARHGEF1",2,"HumanCTX"
"1305","ARHGEF7",2,"HumanCTX"
"1306","ARID5A",2,"HumanCTX"
"1307","ARID5B",2,"HumanCTX"
"1308","ARL6IP1",2,"HumanCTX"
"1309","ARMC6",2,"HumanCTX"
"1310","ARMCX3",2,"HumanCTX"
"1311","ARMCX6",2,"HumanCTX"
"1312","ARMT1",2,"HumanCTX"
"1313","ARNTL",2,"HumanCTX"
"1314","ARRDC1",2,"HumanCTX"
"1315","ARSA",2,"HumanCTX"
"1316","ASAH2B",2,"HumanCTX"
"1317","ASB13",2,"HumanCTX"
"1318","ASB3",2,"HumanCTX"
"1319","ASCC2",2,"HumanCTX"
"1320","ASIC4",2,"HumanCTX"
"1321","ASTN2",2,"HumanCTX"
"1322","ATAD1",2,"HumanCTX"
"1323","ATG4D",2,"HumanCTX"
"1324","ATL1",2,"HumanCTX"
"1325","ATP1A1",2,"HumanCTX"
"1326","ATP1A3",2,"HumanCTX"
"1327","ATP2C1",2,"HumanCTX"
"1328","ATP5F1C",2,"HumanCTX"
"1329","ATP5ME",2,"HumanCTX"
"1330","ATP5PF",2,"HumanCTX"
"1331","ATP6AP1",2,"HumanCTX"
"1332","ATP6V0A1",2,"HumanCTX"
"1333","ATP6V0E2",2,"HumanCTX"
"1334","ATP6V1B2",2,"HumanCTX"
"1335","ATPAF1",2,"HumanCTX"
"1336","ATRIP",2,"HumanCTX"
"1337","ATXN7L2",2,"HumanCTX"
"1338","AUP1",2,"HumanCTX"
"1339","AURKAIP1",2,"HumanCTX"
"1340","AZIN1",2,"HumanCTX"
"1341","B3GALNT1",2,"HumanCTX"
"1342","B4GALNT4",2,"HumanCTX"
"1343","B4GALT7",2,"HumanCTX"
"1344","BABAM2",2,"HumanCTX"
"1345","BAG6",2,"HumanCTX"
"1346","BANP",2,"HumanCTX"
"1347","BBS2",2,"HumanCTX"
"1348","BBX",2,"HumanCTX"
"1349","BCAN",2,"HumanCTX"
"1350","BCAP31",2,"HumanCTX"
"1351","BCAR1",2,"HumanCTX"
"1352","BCAS1",2,"HumanCTX"
"1353","BCKDK",2,"HumanCTX"
"1354","BEGAIN",2,"HumanCTX"
"1355","BEND5",2,"HumanCTX"
"1356","BID",2,"HumanCTX"
"1357","BIN3",2,"HumanCTX"
"1358","BIVM",2,"HumanCTX"
"1359","BNIP2",2,"HumanCTX"
"1360","BNIP3L",2,"HumanCTX"
"1361","BOK",2,"HumanCTX"
"1362","BOLA3",2,"HumanCTX"
"1363","BRD9",2,"HumanCTX"
"1364","BRICD5",2,"HumanCTX"
"1365","BRMS1",2,"HumanCTX"
"1366","BUB3",2,"HumanCTX"
"1367","BUD23",2,"HumanCTX"
"1368","BZW1",2,"HumanCTX"
"1369","BZW2",2,"HumanCTX"
"1370","C11orf58",2,"HumanCTX"
"1371","C11orf74",2,"HumanCTX"
"1372","C17orf80",2,"HumanCTX"
"1373","C19orf47",2,"HumanCTX"
