"","Gene","Event","No_of_Events","Sample"
"404","Arpc5","SE",1,"Mouse"
"405","Arpc5l","SE",1,"Mouse"
"406","Arpp21","SE",6,"Mouse"
"407","Arrb1","SE",2,"Mouse"
"408","Arrdc1","SE",1,"Mouse"
"409","Arrdc3","SE",1,"Mouse"
"410","Arsa","SE",1,"Mouse"
"411","Arsb","SE",1,"Mouse"
"412","Arsg","SE",1,"Mouse"
"413","Arsk","SE",2,"Mouse"
"414","Arvcf","SE",2,"Mouse"
"415","As3mt","SE",2,"Mouse"
"416","Asap1","SE",3,"Mouse"
"417","Asb3","SE",1,"Mouse"
"418","Asb7","SE",2,"Mouse"
"419","Ascc1","SE",1,"Mouse"
"420","Ascc2","SE",2,"Mouse"
"421","Ash2l","SE",2,"Mouse"
"422","Asph","MX",1,"Mouse"
"423","Asph","SE",6,"Mouse"
"424","Asphd2","MX",1,"Mouse"
"425","Asphd2","SE",8,"Mouse"
"426","Aspscr1","SE",1,"Mouse"
"427","Astn1","SE",2,"Mouse"
"428","Astn2","SE",1,"Mouse"
"429","Atat1","SE",1,"Mouse"
"430","Ate1","MX",1,"Mouse"
"431","Ate1","SE",3,"Mouse"
"432","Atf2","MX",1,"Mouse"
"433","Atf2","SE",6,"Mouse"
"434","Atg10","SE",2,"Mouse"
"435","Atg13","SE",6,"Mouse"
"436","Atg16l1","SE",2,"Mouse"
"437","Atg3","SE",1,"Mouse"
"438","Atg4a","MX",1,"Mouse"
"439","Atg4a","SE",1,"Mouse"
"440","Atg4b","SE",2,"Mouse"
"441","Atg4d","MX",2,"Mouse"
"442","Atg5","SE",2,"Mouse"
"443","Atg7","SE",1,"Mouse"
"444","Atg9a","MX",1,"Mouse"
"445","Atg9a","SE",3,"Mouse"
"446","Atl1","SE",1,"Mouse"
"447","Atl2","SE",1,"Mouse"
"448","Atox1","SE",1,"Mouse"
"449","Atp10a","MX",1,"Mouse"
"450","Atp11b","SE",2,"Mouse"
"451","Atp13a2","SE",2,"Mouse"
"452","Atp1b2","SE",1,"Mouse"
"453","Atp1b3","SE",3,"Mouse"
"454","Atp2a2","SE",3,"Mouse"
"455","Atp2a3","SE",1,"Mouse"
"456","Atp2b1","SE",4,"Mouse"
"457","Atp2b2","MX",1,"Mouse"
"458","Atp2b2","SE",9,"Mouse"
"459","Atp2b3","SE",3,"Mouse"
"460","Atp2b4","SE",4,"Mouse"
"461","Atp2c1","SE",2,"Mouse"
"462","Atp5c1","SE",1,"Mouse"
"463","Atp5d","SE",2,"Mouse"
"464","Atp5f1","SE",1,"Mouse"
"465","Atp5h","SE",2,"Mouse"
"466","Atp5j","SE",1,"Mouse"
"467","Atp5j2","SE",2,"Mouse"
"468","Atp5k","SE",1,"Mouse"
"469","Atp5l","SE",2,"Mouse"
"470","Atp5md","SE",1,"Mouse"
"471","Atp5o","SE",2,"Mouse"
"472","Atp6ap1l","SE",1,"Mouse"
"473","Atp6v0a1","MX",2,"Mouse"
"474","Atp6v0a1","SE",8,"Mouse"
"475","Atp6v0b","SE",1,"Mouse"
"476","Atp6v0e","SE",2,"Mouse"
"477","Atp6v0e2","SE",1,"Mouse"
"478","Atp6v1c1","SE",3,"Mouse"
"479","Atp6v1e1","SE",1,"Mouse"
"480","Atp6v1g2","SE",1,"Mouse"
"481","Atp6v1h","SE",2,"Mouse"
"482","Atp8a1","MX",2,"Mouse"
"483","Atp8a1","SE",2,"Mouse"
"484","Atp9a","SE",2,"Mouse"
"485","Atp9b","SE",4,"Mouse"
"486","Atpaf2","SE",3,"Mouse"
"487","Atpif1","SE",2,"Mouse"
"488","Atpsckmt","SE",1,"Mouse"
"489","Atrnl1","SE",1,"Mouse"
"490","Atrx","SE",4,"Mouse"
"491","Atxn1l","SE",1,"Mouse"
"492","Atxn2","SE",3,"Mouse"
"493","Atxn2l","SE",2,"Mouse"
"494","Atxn7","SE",1,"Mouse"
"495","Atxn7l2","SE",1,"Mouse"
"496","AU022252","SE",1,"Mouse"
"497","AU040320","SE",4,"Mouse"
"498","AU041133","SE",1,"Mouse"
"499","Aup1","SE",1,"Mouse"
"500","Auts2","MX",1,"Mouse"
"501","Avl9","SE",1,"Mouse"
"502","AW047730","SE",1,"Mouse"
"503","AW549877","SE",3,"Mouse"
"504","AW554918","SE",1,"Mouse"
"505","Axin1","SE",1,"Mouse"
"506","Axl","SE",1,"Mouse"
"507","Azin1","SE",1,"Mouse"
"508","Azin2","SE",2,"Mouse"
"509","B230118H07Rik","SE",1,"Mouse"
"510","B3galnt1","SE",1,"Mouse"
"511","B3galt5","SE",1,"Mouse"
"512","B3gat1","SE",4,"Mouse"
"513","B4galnt1","MX",1,"Mouse"
"514","B4galnt1","SE",3,"Mouse"
"515","B4galnt4","SE",1,"Mouse"
"516","B4galt2","SE",3,"Mouse"
"517","B4galt5","SE",1,"Mouse"
"518","B4galt6","SE",1,"Mouse"
"519","B4galt7","SE",1,"Mouse"
"520","Bace1","SE",1,"Mouse"
"521","Bag2","SE",1,"Mouse"
"522","Bag4","SE",1,"Mouse"
"523","Bag6","SE",4,"Mouse"
"524","Bak1","SE",1,"Mouse"
"525","Banf1","SE",1,"Mouse"
"526","Banp","SE",2,"Mouse"
"527","Bap1","SE",3,"Mouse"
"528","Baz2b","SE",3,"Mouse"
"529","Bbs1","SE",2,"Mouse"
"530","Bbs4","SE",1,"Mouse"
"531","Bbs7","SE",3,"Mouse"
"532","Bbs9","SE",3,"Mouse"
"533","Bbx","SE",3,"Mouse"
"534","BC004004","SE",1,"Mouse"
"535","BC005624","SE",1,"Mouse"
"536","BC031181","SE",1,"Mouse"
"537","BC052040","SE",1,"Mouse"
"538","Bcan","SE",2,"Mouse"
"539","Bcap31","SE",1,"Mouse"
"540","Bcar1","SE",1,"Mouse"
