,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
433,COG4,1.98227123303957,2.31175386105575,96,205,109
434,COL6A1,NA,2.27875360095283,NA,190,NA
435,COL9A2,2.05690485133647,NA,114,NA,NA
436,COL9A3,2.24551266781415,NA,176,NA,NA
437,COMMD2,NA,1.49136169383427,NA,31,NA
438,COMMD3,1.65321251377534,2.17318626841227,45,149,104
439,COMMD4,NA,1,NA,10,NA
440,COMMD9,1.25527250510331,1.85733249643127,18,72,54
441,COPG1,NA,2.33445375115093,NA,216,NA
442,COPS6,1.79934054945358,2.05307844348342,63,113,50.0000000000001
443,COPS7A,2.59659709562646,NA,395,NA,NA
444,COQ3,NA,1.70757017609794,NA,51,NA
445,COQ6,1.43136376415899,1.55630250076729,27,36,9
446,COQ8B,1.32221929473392,1.99122607569249,21,98,77
447,COQ9,NA,1.91381385238372,NA,82,NA
448,CORO1A,1.96848294855394,NA,93,NA,NA
449,CORO1C,NA,2.65991620006985,NA,457,NA
450,CORO6,1.55630250076729,NA,36,NA,NA
451,COTL1,2.16435285578444,2.78958071216443,146,616,470
452,COX4I1,2.9698816437465,2.30102999566398,933,200,733
453,COX5B,2.75663610824585,1.93951925261862,571,87,484
454,CPLANE1,NA,1,NA,10,NA
455,CPLX1,2.9484129657786,NA,888,NA,NA
456,CPNE1,NA,2.10720996964787,NA,128,NA
457,CPNE1_RBM12,NA,1.61278385671974,NA,41,NA
458,CPNE6,2.63346845557959,NA,430,NA,NA
459,CPSF1,1.70757017609794,1.85733249643127,51,72,21
460,CPSF4,1.98227123303957,2.01283722470517,96,103,6.99999999999996
461,CPSF7,NA,2.40140054078154,NA,252,NA
462,CPT1C,2.22271647114758,2.52374646681156,167,334,167
463,CPXM1,NA,1.85733249643127,NA,72,NA
464,CRAMP1,0.778151250383644,NA,6,NA,NA
465,CRAT,2.24551266781415,NA,176,NA,NA
466,CRBN,NA,1.88649072517248,NA,77,NA
467,CREBZF,NA,1.82607480270083,NA,67,NA
468,CRELD1,2.05690485133647,NA,114,NA,NA
469,CRELD2,1.92427928606188,1.91381385238372,84,82,1.99999999999999
470,CRIP2,2.7160033436348,2.74350976472843,520,554,34.0000000000005
471,CRMP1,NA,3.6746774678732,NA,4728,NA
472,CROCC,NA,2.24303804868629,NA,175,NA
473,CRY1,NA,2.22788670461367,NA,169,NA
474,CRY2,2.22271647114758,NA,167,NA,NA
475,CRYBB2P1,1.38021124171161,1.41497334797082,24,26,2.00000000000001
476,CRYM,2.55870857053317,2.40993312333129,362,257,105
477,CS,2.38916608436453,2.52374646681156,245,334,89
478,CSAD,0.778151250383644,NA,6,NA,NA
479,CSNK1E,1.65321251377534,2.29003461136252,45,195,150
480,CSNK1G2,2.13672056715641,NA,137,NA,NA
481,CSNK2A1,NA,2.10720996964787,NA,128,NA
482,CSRNP2,1.65321251377534,1.66275783168157,45,46,0.999999999999993
483,CTCF,NA,2.0899051114394,NA,123,NA
484,CTDSPL,1.07918124604762,NA,12,NA,NA
