"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"241","AC124312.1",1.25367334060826,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"242","AC124319.1",1.51691477538285,"Human (Adult)",NA,NA
"243","AC125232.2",NA,NA,1.48853777471772,"Human (Fetal)"
"244","AC125616.1",0.952643344944283,"Human (Adult)",NA,NA
"245","AC126407.1",NA,NA,1.01141651999805,"Human (Fetal)"
"246","AC126755.6",1.07758208155258,"Human (Adult)",NA,NA
"247","AC127024.2",NA,NA,1.01141651999805,"Human (Fetal)"
"248","AC129492.1",1.70597101160289,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"249","AC132008.2",1.17449209456064,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"250","AC135048.1",NA,NA,1.01141651999805,"Human (Fetal)"
"251","AC135782.1",NA,NA,1.01141651999805,"Human (Fetal)"
"252","AC136759.1",1.42976459966395,"Human (Adult)",NA,NA
"253","AC138393.1",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"254","AC138649.1",1.25367334060826,"Human (Adult)",NA,NA
"255","AC138776.1",0.776552085888602,"Human (Adult)",NA,NA
"256","AC138969.1",1.37861207721656,"Human (Adult)",NA,NA
"257","AC138969.2_NPIPA7",1.42976459966395,"Human (Adult)",NA,NA
"258","AC139272.1",NA,NA,1.31244651566203,"Human (Fetal)"
"259","AC139768.1",1.55470333627225,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"260","AC139795.1",NA,NA,1.01141651999805,"Human (Fetal)"
"261","AC140125.2",0.776552085888602,"Human (Adult)",NA,NA
"262","AC140479.5",1.07758208155258,"Human (Adult)",NA,NA
"263","AC148477.7_AC148477.1",0.776552085888602,"Human (Adult)",NA,NA
"264","AC159540.2",1.6516133492803,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"265","AC211476.6",NA,NA,1.18750777905373,"Human (Fetal)"
"266","AC233702.4",0.776552085888602,"Human (Adult)",NA,NA
"267","AC234582.1",0.776552085888602,"Human (Adult)",NA,NA
"268","AC234783.1_TMSB15B",NA,NA,1.40935652867009,"Human (Fetal)"
"269","AC234917.3",0.776552085888602,"Human (Adult)",NA,NA
"270","AC239859.6",1.51691477538285,"Human (Adult)",NA,NA
"271","AC241952.1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"272","AC242022.2",0.776552085888602,"Human (Adult)",NA,NA
